track_number,icao24,callsign,origin_country,position_source,mode3a_code,emergency_squawk,spi,iff_mode,flight_plan_correlated,on_ground,baro_altitude_ft,geo_altitude_ft,ground_speed_kts,track_angle_deg,vertical_rate_fpm,latitude_deg,longitude_deg,in_restricted_zone,corridor_compliant,origin_known,sensor_platform,sensor_latitude,sensor_longitude,sensor_true_altitude_ft,slant_range_m,track_confidence
1,48bdbd,SWR169,Austria,ads_b,2707,0,0,mode3_valid,1,0,22590,22590,404,248,-4489,47.0404,6.58535,0,1,1,GS-RADAR-01,47.0,7.5,1800,69769,0.846
2,f4daff,BAW815,Switzerland,ads_b,3665,0,0,mode3_valid,0,0,6605,6605,370,173,-179,47.43365,8.5319,1,0,1,GS-RADAR-02,47.5,9.0,1500,35985,0.905
3,1ef3af,AFR741,Italy,ads_b,4633,0,0,mode3_valid,1,0,8512,8512,264,265,4841,47.10635,7.18647,0,1,1,GS-RADAR-01,47.0,7.5,1800,26612,0.858
4,f80dc5,N832,,mlat,4532,0,0,mode3_invalid,1,0,19711,19711,81,107,5124,46.82824,8.94971,0,1,0,UAS-ORBIT-09,46.9,8.2,18000,57556,0.529
5,8ba1a6,AUA481,Austria,fused,7251,0,0,mode3_valid,1,0,18011,18011,512,67,1376,46.95495,7.99652,1,1,1,UAS-ORBIT-09,46.9,8.2,18000,16616,0.861
6,7b2db5,UNKNOWN,Switzerland,ads_b,4323,0,0,mode3_invalid,0,0,15871,15871,493,111,-4716,47.48235,8.50259,1,0,1,GS-RADAR-02,47.5,9.0,1500,37679,0.875
7,7118c7,SWR981,Switzerland,ads_b,3762,0,0,mode3_valid,1,0,5620,5620,519,243,5750,47.47606,8.50179,1,1,1,GS-RADAR-02,47.5,9.0,1500,37550,0.866
8,373205,N746,Austria,ads_b,,0,0,no_response,1,1,5510,5510,233,343,5110,47.45765,7.83629,0,1,1,GS-RADAR-01,47.0,7.5,1800,56882,0.835
9,04a7d2,AUA325,Austria,ads_b,1027,0,0,mode3_valid,1,0,37726,37726,208,243,2119,47.4529,8.5577,1,1,1,GS-RADAR-02,47.5,9.0,1500,35416,0.843
10,c1587a,BAW589,Germany,ads_b,7221,0,0,mode3_valid,0,0,32379,32379,296,247,11294,47.07024,6.65864,0,1,1,GS-RADAR-01,47.0,7.5,1800,64911,0.879
11,78b084,UNKNOWN,Austria,ads_b,,0,0,no_response,0,0,38594,38594,129,303,4440,47.33212,8.57889,0,1,1,GS-RADAR-02,47.5,9.0,1500,38473,0.85
12,5806a1,AFR356,Switzerland,mlat,2253,0,0,mode3_invalid,1,0,38009,38009,363,81,-3687,47.00411,7.96041,1,1,1,UAS-ORBIT-09,46.9,8.2,18000,22403,0.619
13,9a24de,AUA474,France,ads_b,3546,0,0,mode3_valid,1,0,32383,32383,132,295,4597,47.44234,8.55504,1,0,1,GS-RADAR-02,47.5,9.0,1500,35330,0.863
14,778651,DLH374,,fused,6764,0,0,mode3_valid,1,0,23477,23477,509,42,-1579,47.79337,9.04008,0,1,0,GS-RADAR-02,47.5,9.0,1500,33437,0.93
15,ca8f7f,UNKNOWN,Netherlands,asterix_radar,3573,0,0,mode3_invalid,0,0,30964,30964,441,180,-4722,47.01964,7.76153,0,1,1,GS-RADAR-01,47.0,7.5,1800,21840,0.744
16,d55ab3,BAW922,Germany,flarm,1256,0,0,mode3_invalid,1,0,20747,20747,414,125,-4981,47.53732,7.76969,0,1,1,GS-RADAR-01,47.0,7.5,1800,63380,0.536
17,25b52c,UNKNOWN,,fused,1633,0,0,mode3_invalid,0,0,10055,10055,306,15,2862,47.00211,8.04362,1,1,0,UAS-ORBIT-09,46.9,8.2,18000,16603,0.892
18,c8acd4,EJU266,,ads_b,1754,0,0,mode3_valid,1,0,23134,23134,215,296,-1948,47.69565,9.46694,0,1,0,GS-RADAR-02,47.5,9.0,1500,41744,0.884
