track_id,domain,grid_square,position_source,identification,in_exclusion_zone,track_confidence,grid_has_confirmed_maritime_exclusion_breach,grid_has_gps_spoofing
1,air,GS-32,gps,friendly,0,0.788,0,0
2,air,GS-12,gps,friendly,0,0.857,0,1
3,air,GS-12,gps,unknown,1,0.935,0,0
4,air,GS-22,gps,unknown,0,0.842,0,0
5,air,GS-13,gps,unidentified,1,0.874,1,0
6,maritime,GS-11,ais,friendly,1,0.937,0,0
7,air,GS-22,radar,hostile,1,0.801,0,0
8,air,GS-22,gps,friendly,1,0.821,0,0
9,maritime,GS-13,sonar,hostile,0,0.88,0,0
10,air,GS-21,gps,unidentified,0,0.566,1,0
11,air,GS-12,gps,unidentified,1,0.776,0,0
12,air,GS-12,gps,unidentified,0,0.705,0,0
13,air,GS-31,radar,unidentified,0,0.741,0,0
14,air,GS-13,gps,unknown,0,0.888,0,0
15,air,GS-22,radar,unidentified,0,0.663,0,0
16,maritime,GS-23,ais,friendly,1,0.314,0,0
17,air,GS-31,gps,unidentified,0,0.56,0,0
18,maritime,GS-31,sonar,hostile,1,0.648,0,1
19,air,GS-21,radar,unidentified,0,0.792,0,0
20,maritime,GS-31,sonar,hostile,0,0.553,0,0
21,maritime,GS-21,sonar,unidentified,0,0.638,0,0
22,air,GS-13,gps,hostile,1,0.31,0,0
23,air,GS-23,radar,unidentified,1,0.754,0,0
24,maritime,GS-21,sonar,unidentified,0,0.754,0,0
25,air,GS-22,gps,friendly,0,0.968,0,0
26,maritime,GS-32,ais,friendly,0,0.323,0,0
27,maritime,GS-12,ais,friendly,1,0.905,1,0
28,air,GS-23,radar,unknown,0,0.479,0,0
29,maritime,GS-11,sonar,friendly,0,0.328,0,0
30,maritime,GS-31,sonar,unidentified,1,0.459,0,0
31,maritime,GS-22,ais,unknown,0,0.772,0,0
32,air,GS-13,gps,friendly,0,0.416,0,1
33,air,GS-22,radar,unidentified,0,0.714,1,0
34,maritime,GS-11,ais,unknown,0,0.371,0,0
35,maritime,GS-31,ais,friendly,0,0.456,0,0
36,air,GS-32,gps,friendly,1,0.445,0,0
37,maritime,GS-21,ais,unidentified,0,0.39,0,0
38,maritime,GS-23,ais,friendly,1,0.432,0,0
39,air,GS-11,radar,unidentified,0,0.35,0,1
40,maritime,GS-23,ais,friendly,0,0.531,0,0
41,air,GS-22,gps,friendly,0,0.603,0,0
42,maritime,GS-11,ais,friendly,0,0.777,0,0
43,maritime,GS-13,ais,hostile,0,0.936,0,0
44,maritime,GS-23,ais,unidentified,0,0.903,0,0
45,air,GS-22,gps,friendly,0,0.661,0,0
46,air,GS-31,gps,friendly,1,0.506,1,0
47,air,GS-21,gps,friendly,0,0.845,0,0
48,air,GS-11,radar,unidentified,0,0.387,0,0
49,air,GS-22,radar,hostile,0,0.704,0,0
50,maritime,GS-32,ais,unidentified,0,0.669,0,0
51,air,GS-23,radar,unknown,1,0.622,0,0
52,air,GS-13,radar,hostile,0,0.666,0,0
53,maritime,GS-31,ais,friendly,0,0.447,1,0
54,air,GS-32,radar,unidentified,0,0.579,1,0
55,air,GS-13,radar,unidentified,0,0.715,0,0
56,air,GS-31,radar,friendly,1,0.51,0,1
57,air,GS-21,gps,friendly,0,0.348,0,1
58,air,GS-11,gps,unknown,0,0.563,0,0
59,maritime,GS-23,ais,friendly,0,0.934,0,0
60,maritime,GS-12,ais,unidentified,1,0.946,1,0
61,maritime,GS-12,sonar,unidentified,0,0.69,0,0
62,maritime,GS-12,ais,friendly,1,0.799,0,1
63,maritime,GS-23,sonar,friendly,0,0.571,0,0
64,air,GS-31,gps,friendly,0,0.953,0,0
65,air,GS-23,radar,friendly,0,0.707,1,0
66,air,GS-11,gps,unidentified,0,0.738,0,0
67,air,GS-21,radar,friendly,0,0.735,1,0
68,air,GS-13,gps,friendly,1,0.379,0,0
69,air,GS-31,radar,friendly,0,0.721,0,0
70,air,GS-32,radar,friendly,0,0.653,0,1
71,air,GS-13,gps,friendly,1,0.823,0,0
72,air,GS-32,gps,hostile,0,0.898,0,0
73,maritime,GS-13,sonar,unknown,0,0.35,1,0
74,air,GS-22,gps,hostile,0,0.841,0,0
