exchange_id,schema_version,component_id,mandatory_fields_present,field_in_range,requested_capacity,available_capacity,device_state_from,device_state_to,init_health_passed,request_priority,active_allocation_priority,preemption_performed,ack_latency_ms,ack_latency_limit_ms
1,v3,RRM-2,1,1,16,48,INIT,ACTIVE,1,1,3,1,298,250
2,v2,RRM-4,1,1,8,48,IDLE,INIT,1,2,5,1,57,250
3,v1,RRM-2,1,1,63,64,INIT,ACTIVE,1,5,1,1,204,250
4,v1,RRM-2,1,1,13,56,ACTIVE,IDLE,0,2,2,0,6,250
5,v1,RRM-2,1,1,78,79,INIT,ACTIVE,1,1,3,0,482,250
6,v3,RRM-2,1,1,24,39,IDLE,INIT,1,1,5,1,495,250
7,v9,RRM-4,1,1,1,61,IDLE,INIT,1,2,1,1,233,250
8,v1,RRM-2,1,1,68,34,INIT,ACTIVE,1,3,2,1,246,250
9,v1,RRM-3,1,1,5,81,INIT,ACTIVE,0,4,2,1,218,250
10,v3,RRM-2,1,1,39,57,INIT,ACTIVE,1,5,2,1,41,250
11,v2,RRM-2,1,1,14,24,IDLE,INIT,0,2,2,1,436,250
12,v2,RRM-2,1,1,58,56,IDLE,INIT,1,3,3,1,123,250
13,v2,RRM-1,1,1,13,61,IDLE,INIT,0,4,2,1,100,250
14,v3,RRM-2,1,1,27,29,ACTIVE,INIT,1,3,4,1,77,250
15,v3,RRM-4,1,1,30,30,IDLE,INIT,0,4,3,1,55,250
16,v1,RRM-3,1,1,14,61,IDLE,INIT,0,1,4,1,207,250
17,v3,RRM-1,1,1,58,92,INIT,ACTIVE,0,5,1,1,75,250
18,v2,RRM-2,1,1,73,95,INIT,IDLE,1,5,1,1,95,250
19,v2,RRM-0,1,1,26,35,INIT,ACTIVE,1,2,2,1,109,250
20,v3,RRM-3,1,1,32,35,INIT,ACTIVE,1,3,2,1,23,250
21,v1,RRM-4,1,1,19,86,INIT,ACTIVE,1,1,4,1,151,250
22,v1,RRM-4,1,1,61,93,IDLE,INIT,0,1,2,1,192,250
23,v1,RRM-3,1,1,20,41,ACTIVE,IDLE,1,5,4,0,181,250
24,v2,RRM-4,1,1,17,26,ACTIVE,IDLE,0,4,5,0,342,250
25,v1,RRM-1,1,1,24,62,INIT,ACTIVE,1,1,4,1,157,250
26,v1,RRM-4,1,1,23,28,INIT,ACTIVE,1,1,3,1,186,250
27,v2,RRM-3,1,1,89,60,INIT,ACTIVE,1,1,4,0,110,250
28,v2,RRM-2,1,1,0,53,IDLE,INIT,0,1,4,0,389,250
29,v2,RRM-3,1,1,42,52,INIT,INIT,1,3,1,1,244,250
30,v2,RRM-2,1,1,55,83,INIT,ACTIVE,1,3,3,0,51,250
